start_base	count	direction	strand	fitted	ret	prob
A	42979	AtoG	+	43048.219170673714	-0.00058446209140794014	0.568379
C	133291	CtoT	+	133483.7181955727	-0.00057134934239487587	0.254296
A	6918	AtoT	-	6972.8419260248656	-0.00046161124956799453	0.568379
C	18529	CtoG	-	18644.376965525218	-0.0003412426075671246	0.254296
C	15926	CtoA	-	16003.341230048007	-0.00022890298529070884	0.254296
A	9151	AtoC	-	9165.3772446487801	-0.00012139873695136677	0.568379
A	9192	AtoC	+	9177.6227553512817	0.00012158919137903389	0.568379
C	15953	CtoA	+	15875.658769951837	0.00023001636495249706	0.254296
C	18611	CtoG	+	18495.623034474316	0.00034336938312951921	0.254296
A	7037	AtoT	+	6982.1580739752226	0.00046525384703527769	0.568379
C	134750	CtoT	-	134557.28180442608	0.0005721715391854115	0.254296
A	43060	AtoG	-	42990.780829326468	0.00058540325894485543	0.568379
