Position	RE	Deviance	df	prob	formula
pos2	0.0214471978241	3687.116461131357	3	0	count ~ mut * base - mut : base
pos3	0.000997122423575	171.4212985713881	3	6.2780115984e-37	count ~ mut * base - mut : base
pos0	0.0205233022743	3528.284033787977	3	0	count ~ mut * base - mut : base
pos1	0.00918591064948	1579.2050152158586	3	0	count ~ mut * base - mut : base
pos0:pos1	0.0115212650578	1980.6898036815107	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00190667050917	327.7871672544452	9	3.28518783979e-65	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00175899775397	302.3998578711649	9	8.08340010746e-60	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00101814661598	175.03569363217696	9	5.50415851461e-33	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00225435866535	387.5603243127692	9	6.16818636562e-78	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000702354636937	120.74599976363331	9	9.40000757671e-22	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.00117680983193	202.31243906595904	27	9.00110786718e-29	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.000429179414885	73.78280828937206	27	3.18619299125e-06	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00084152824488	144.6721697467355	27	4.72690354002e-18	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000645541930875	110.97898658832943	27	3.7914052905e-12	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00072874477494	125.28288672865348	81	0.00117062315318	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
