Position	RE	Deviance	df	prob	formula
pos1	0.00562232512367	358.7718107913385	3	1.88038100653e-77	count ~ mut * base - mut : base
pos2	0.0175639421168	1120.7902743586437	3	1.12350096091e-242	count ~ mut * base - mut : base
pos3	0.000132925659061	8.482252156013333	3	0.0370287217149	count ~ mut * base - mut : base
pos0	0.00526988371561	336.2818196603016	3	1.39286229636e-72	count ~ mut * base - mut : base
pos2:pos3	0.00208689134104	133.16871025421446	9	2.64253849528e-24	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00243379363831	155.30523964753036	9	7.00742711274e-29	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000558932264446	35.66658565879747	9	4.54265895892e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000755122103464	48.185851666256404	9	2.35770657344e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.000634814891124	40.508807832378594	9	6.14381147318e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00346021974094	220.80354210871795	9	1.41824928802e-42	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.00135118299378	86.2216891988537	27	4.16684660564e-08	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00104299713337	66.55573307461928	27	3.42821726905e-05	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00122300479353	78.04238188502096	27	7.45076106587e-07	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000573356029123	36.586994930397395	27	0.103038213593	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00158531702463	101.162249975896	81	0.0642097618516	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
