Position	RE	Deviance	df	prob	formula
pos0	0.0062727856745	466.9712567526703	3	6.85475889152e-101	count ~ mut * base - mut : base
pos2	0.00751775340548	559.65163451782	3	5.62165978905e-121	count ~ mut * base - mut : base
pos1	0.00168372123132	125.34294334409978	3	5.45180098744e-27	count ~ mut * base - mut : base
pos3	0.00228347652605	169.99112650548125	3	1.27814968378e-36	count ~ mut * base - mut : base
pos0:pos2	0.000452840307019	33.71124381569774	9	0.000100351261241	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00087557731807	65.1814778663764	9	1.33007934252e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00135246316229	100.68276765335406	9	1.14483112236e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00104311556322	77.65369498870575	9	4.71967968102e-13	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000954905986458	71.08702125591162	9	9.31753449652e-12	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00325438490817	242.2694301039628	9	4.2685735523e-47	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2:pos3	0.00101682188912	75.69628871348505	27	1.66620405433e-06	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000603691115429	44.941181396963316	27	0.0164943538074	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.000787730971067	58.64184441008694	27	0.000396320431923	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000741537070585	55.202985682606226	27	0.00108135701624	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00169869166556	126.45740235109183	81	0.000928363029549	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
