Position	RE	Deviance	df	prob	formula
pos2	0.163190652592	87007.38109843695	3	0	count ~ mut * base - mut : base
pos1	0.00359892516723	1918.817337859704	3	0	count ~ mut * base - mut : base
pos0	0.000290912984529	155.10433048339536	3	2.08712291195e-33	count ~ mut * base - mut : base
pos3	0.00141915485917	756.6422813344561	3	1.09439582558e-163	count ~ mut * base - mut : base
pos0:pos2	0.000155643135294	82.98331658591474	9	4.119993016e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.000533645394059	284.52051287805887	9	4.98935762028e-56	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.000484120379103	258.1155578039495	9	1.9269252596e-50	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000215766018983	115.0386737452608	9	1.38081999461e-20	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.000620214630784	330.67611340756713	9	7.98895242166e-66	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000157905561996	84.18956105617838	9	2.36786576292e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.000286693399897	152.8545998625342	27	1.55525130959e-19	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.000145550776644	77.60243427874538	27	8.67156373336e-07	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000157083762177	83.75140697743905	27	1.00751382514e-07	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	7.5961913788e-05	40.50015780287093	27	0.0459696159926	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.000246863652294	131.61881231189187	81	0.000323473314899	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
