Position	RE	Deviance	df	prob	formula
pos2	0.00080295761043	59.51200625460355	3	7.47302378341e-13	count ~ mut * base - mut : base
pos1	0.00692652384018	513.3662409386877	3	6.05249463094e-111	count ~ mut * base - mut : base
pos3	0.00516129710053	382.53469590257276	3	1.3429275479e-82	count ~ mut * base - mut : base
pos0	0.00170448329423	126.32948383488156	3	3.34188445926e-27	count ~ mut * base - mut : base
pos0:pos2	0.00120062887702	88.98580984938302	9	2.60059654087e-15	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000532087900238	39.43622681404812	9	9.61025232914e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00080538940694	59.69224128473928	9	1.536774413e-09	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00253445663992	187.84378832443483	9	1.16302976104e-35	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00110213628801	81.68593312197069	9	7.46912040275e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00134491697575	99.67986657452595	9	1.82647707568e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.000518171658688	38.40481065534158	27	0.0716835506301	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000972639723126	72.08816571918386	27	5.6212527879e-06	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00107217999055	79.46569217932007	27	4.54917080996e-07	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.000940861321084	69.73287767349463	27	1.22446226956e-05	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00132126641051	97.92698128161383	81	0.097023668955	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
