Position	RE	Deviance	df	prob	formula
pos2	0.0052457330026292655	334.17417519949475	3	3.983090585218035e-72	count ~ mut * base - mut : base
pos3	0.0058714587175781536	374.0354061445987	3	9.30671555459395e-81	count ~ mut * base - mut : base
pos0	3.458486981714678e-05	2.2031945468315186	3	0.53131941923511894	count ~ mut * base - mut : base
pos1	0.017700780895621555	1127.6105461746756	3	3.7229336044981063e-244	count ~ mut * base - mut : base
pos1:pos2	0.001440157251057641	91.74377752137597	9	7.2698222172179781e-16	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0006848364931424132	43.62682395914429	9	1.6533893273367103e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0034466037004479305	219.56244213333497	9	2.5868124123996619e-42	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0005275305029318271	33.60580315876911	9	0.00010470374341650447	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00038897151376964646	24.77904131318156	9	0.0032255751963515275	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.001538430939913179	98.00420459622916	9	3.9833335155319442e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.000980383115993671	62.454326021260826	27	0.00012463338706489755	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0010268982752589177	65.4175277270941	27	4.9270658317710113e-05	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0004142741203027931	26.39091855976913	27	0.4969955600135888	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0015171363483764111	96.6476539369709	27	9.0817862140140651e-10	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.001406124043715259	89.57572608083686	81	0.24092642966391753	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
