Position	RE	Deviance	df	prob	formula
pos2	0.00862336534008	1485.2884461751494	3	0	count ~ mut * base - mut : base
pos3	0.020181577841	3476.0749673349655	3	0	count ~ mut * base - mut : base
pos1	0.0236234665465	4068.9058779655625	3	0	count ~ mut * base - mut : base
pos0	0.000946081703927	162.9531126844699	3	4.22467795113e-35	count ~ mut * base - mut : base
pos0:pos3	0.00085942508579	148.02737677654568	9	2.25919218218e-27	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.000844663802712	145.48489337917792	9	7.58713799712e-27	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00161966690213	278.9714272222428	9	7.46946569187e-55	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00177494112859	305.7158599887387	9	1.59956028976e-60	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00194105472256	334.32726541325263	9	1.33734160017e-66	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.011132038869	1917.3823747972976	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.000674985552615	116.25951158238564	27	4.77637697973e-13	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0012217194687	210.42896128912685	27	2.52960989899e-30	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000521491023653	89.82161391391963	27	1.13146682741e-08	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00053342889316	91.87779255794526	27	5.32796463793e-09	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00061456406104	105.85251387356159	81	0.0333544702548	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
