Position	RE	Deviance	df	prob	formula
pos2	0.0005680239094094798	432.0389854968503	3	2.5388064894991907e-93	count ~ mut * base - mut : base
pos3	0.0008386556867670074	637.8815153549858	3	6.1770085392941874e-138	count ~ mut * base - mut : base
pos0	0.000176698263558822	134.39669926284	3	6.1018010898889993e-29	count ~ mut * base - mut : base
pos1	0.003933521176263961	2991.8362066663685	3	0	count ~ mut * base - mut : base
pos1:pos2	0.0006532295862143815	496.84642327465855	9	2.721669923408163e-101	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00012290947155931824	93.48494406801746	9	3.2462028254811582e-16	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0016056724829125691	1221.2744905033	9	3.0953054313478118e-257	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00022683150226473513	172.52804062255754	9	1.8346081419210658e-32	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0005694720359710727	433.14043055959786	9	1.1501240197191561e-87	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0015199830777478138	1156.0991289349872	9	3.6318708491288158e-243	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.00023697401152175044	180.2424331634434	27	1.3397674704362396e-24	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0012297204587810877	935.3253809488953	27	1.1205710700202636e-179	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.000187413542473303	142.54674040519427	27	1.1404192947259519e-17	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00039341574825969047	299.23201812632055	27	1.0334528225231215e-47	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00047478441361436814	361.1210249950884	81	5.2152939968548389e-37	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
