Position	RE	Deviance	df	prob	formula
pos2	0.00512455782272425	4219.888882931802	3	0	count ~ mut * base - mut : base
pos3	0.0012771607704449043	1051.6959166736426	3	1.0975666163339767e-227	count ~ mut * base - mut : base
pos0	0.005376340484330003	4427.222840588322	3	0	count ~ mut * base - mut : base
pos1	0.00195595463011994	1610.658223537086	3	0	count ~ mut * base - mut : base
pos1:pos2	0.0012331001193645723	1015.4135566924281	9	8.1798846407377748e-213	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0011665347007124255	960.5993307874568	9	5.3867160736707987e-201	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.002533564670752499	2086.2992980365357	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0004029451448359193	331.81082074716545	9	4.584231771272948e-66	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0005730615569331683	471.8955619184145	9	5.9546289386243834e-96	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.001650481504875503	1359.1121019308011	9	5.2715754462468357e-287	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0001957777454091075	161.2159253455653	27	4.5819135639819174e-21	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0005204158429666916	428.5437117127237	27	7.4613661765482222e-74	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00030325803348847815	249.72207328855617	27	6.182062353939394e-38	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00098567020237037	811.6639275247143	27	1.3619589616073309e-153	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00023002610316813976	189.41821501924903	81	1.136769479947024e-10	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
