Position	RE	Deviance	df	prob	formula
pos2	0.004501279787513519	18106.14587360503	3	0	count ~ mut * base - mut : base
pos3	0.0003731930706303928	1501.1482277987998	3	0	count ~ mut * base - mut : base
pos0	0.0005508014538901654	2215.5680033917724	3	0	count ~ mut * base - mut : base
pos1	0.08660939819877368	348381.454128268	3	0	count ~ mut * base - mut : base
pos1:pos2	0.000613765774927299	2468.8384587616642	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00015782625437928808	634.8472699704411	9	6.9113037483734808e-131	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00043047415019881966	1731.558162622341	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	8.68791855156187e-05	349.46665850218733	9	8.0479709446385867e-70	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	8.003490968981108e-05	321.93594227232245	9	5.7534585315386689e-64	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0005032343194184093	2024.2318687386642	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	8.57671048267046e-05	344.993376207549	27	6.994014296704045e-57	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00010744614463515567	432.19609981081413	27	1.3352385058610645e-74	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0001461693679143702	587.9580969509509	27	9.2500639886677666e-107	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00022972984594509386	924.0754404427671	27	2.6716919002003291e-177	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	7.853959660891268e-05	315.92112914194115	81	1.8021619787058108e-29	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
