Position	RE	Deviance	df	prob	formula
pos0	0.000837814053188	637.6368170877452	3	6.97960265788e-138	count ~ mut * base - mut : base
pos1	0.000594764506288	452.65861232994155	3	8.65392179494e-98	count ~ mut * base - mut : base
pos2	0.00398311099928	3031.4342544441433	3	0	count ~ mut * base - mut : base
pos3	0.000238260020787	181.3330305407094	3	4.54555328021e-39	count ~ mut * base - mut : base
pos0:pos1	0.00158956185636	1209.7710211436479	9	9.42515477033e-255	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00155727733419	1185.2001752856163	9	1.89951163176e-249	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	7.07139529175e-05	53.81840957484486	9	2.04396675917e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000654619396415	498.21249326798403	9	1.38788604049e-101	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.000718047533771	546.4858726219363	9	6.30893015088e-112	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000293557140883	223.41812032600285	9	3.99699970956e-43	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2:pos3	0.000335793619418	255.56312151781955	27	4.43812504852e-39	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00128222484674	975.8654285555892	27	2.99314023706e-188	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000419654694891	319.38743795027403	27	9.7502310349e-52	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000227837484901	173.4007303088798	27	2.54271177252e-23	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.000431678596797	328.5384930211136	81	1.52180063748e-31	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
