Position	RE	Deviance	df	prob	formula
pos2	0.0009965252527936006	1102.7827474484766	3	9.0645729448627501e-239	count ~ mut * base - mut : base
pos3	0.0008277037191858332	915.9601113551803	3	3.0559110356275784e-198	count ~ mut * base - mut : base
pos0	0.00044385514121094403	491.18252720798455	3	3.8860861690190622e-106	count ~ mut * base - mut : base
pos1	0.0033585866683749415	3716.706047650425	3	0	count ~ mut * base - mut : base
pos1:pos2	0.0006982122694735044	772.6612473429252	9	1.6270347057467147e-160	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00017567225524837377	194.40383648099737	9	4.9285358723207555e-37	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.001632767006505124	1806.8656868747523	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0002594379711756795	287.10132316619985	9	1.4166331362502803e-56	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0004515235119926864	499.66856102944257	9	6.7700326161564679e-102	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0013599460066899582	1504.954329491295	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.00037921794965151324	419.6532011869548	27	4.8992008630308125e-72	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0011933038782704652	1320.5434842026884	27	1.8591472659575499e-261	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00028750434671173056	318.16036019290897	27	1.7167800426679656e-51	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0003867199208232788	427.9550925408234	27	9.8448795247895875e-74	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0005083731123908838	562.579920618899	81	3.4283255485232989e-73	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
