Position	RE	Deviance	df	prob	formula
pos2	0.00316671977389458	3509.1181827271575	3	0	count ~ mut * base - mut : base
pos3	0.0004333325960362812	480.18624965010804	3	9.3848489655184572e-104	count ~ mut * base - mut : base
pos0	0.0008378448476990887	928.4359840117049	3	6.011332243623827e-201	count ~ mut * base - mut : base
pos1	0.0009597594280595573	1063.532456459069	3	2.9688252119912799e-230	count ~ mut * base - mut : base
pos1:pos2	0.0006924283179116658	767.2964373575468	9	2.321599479623251e-159	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0004724690811667506	523.5543280988244	9	5.1827732324426357e-107	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0013999203699162977	1551.2853599931275	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00027902989353701345	309.1997217458095	9	2.9147442791807653e-61	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00013999859633027185	155.13580455988617	9	7.5982486738314362e-29	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.001781898372519513	1974.5643521498127	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.00022716415584029723	251.72605302637353	27	2.5060401124754985e-38	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0003800363392758458	421.1273884237074	27	2.4487875784086259e-72	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0002908756483351691	322.3262869357609	27	2.5132999429221563e-52	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0011484081915859121	1272.5786788929472	27	3.0493207254926357e-251	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0004642937712122378	514.4950709307898	81	2.8214372687925568e-64	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
