Position	RE	Deviance	df	prob	formula
pos1	0.00394208480012	48.72416812944064	3	1.49330131723e-10	count ~ mut * base - mut : base
pos3	0.00223080378903	27.572734832469692	3	4.46486490079e-06	count ~ mut * base - mut : base
pos2	0.145808758928	1802.196260350243	3	0	count ~ mut * base - mut : base
pos0	0.00025304306264	3.1276122542347142	3	0.372365287946	count ~ mut * base - mut : base
pos0:pos2	0.0019583042608	24.204640663494704	9	0.0039892371601	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0010654302857	13.168718331253766	9	0.155119372079	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00164686058461	20.355196825734723	9	0.01584251605	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00137821717477	17.03476428014654	9	0.0481743461765	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00113840393819	14.07067267604364	9	0.119833379173	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00077539055732	9.583827288477112	9	0.385214277291	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2:pos3	0.00187191020472	23.13681013031067	27	0.677641027439	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00202453421198	25.023242860050953	27	0.573159363648	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00167144614307	20.65907432832966	27	0.801991907323	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00268398042671	33.17399807410986	27	0.191388350202	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00633576411859	78.31004450578739	81	0.564021687816	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
