Position	RE	Deviance	df	prob	formula
pos2	0.004963773354176719	8.478124888933836	3	0.037097797512833396	count ~ mut * base - mut : base
pos3	0.003720405005848291	6.354451749988881	3	0.095582728271460762	count ~ mut * base - mut : base
pos0	0.004296081365347895	7.337706972014206	3	0.061878410957286377	count ~ mut * base - mut : base
pos1	0.0059058634545353685	10.08721478034641	3	0.017839141835863669	count ~ mut * base - mut : base
pos1:pos2	0.002801120077837563	4.784313092946558	9	0.8526902887276957	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00737756243377501	12.600876636887717	9	0.18151320697587806	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00217547587395927	3.7157127927224334	9	0.92910811946641969	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.005902875905205438	10.082112046090888	9	0.34387878811109723	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.009557062093860364	16.323462056313502	9	0.06042648619162453	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.006259797741576445	10.691734542612569	9	0.2974321141835059	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.014186164327615238	24.229968671566827	27	0.61753127015535791	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.02183039686684843	37.28631784857711	27	0.089846060603065284	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.018889428527615316	32.26314392516696	27	0.22247867544605451	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.017796431080240448	30.396304285050682	27	0.29664402670599127	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.02950246168643988	50.390204560439315	81	0.99697615609845003	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
