Position	RE	Deviance	df	prob	formula
pos2	0.020976971568066907	14.516064325102299	3	0.0022805833671437747	count ~ mut * base - mut : base
pos3	0.0004471220730352689	0.3094084745404061	3	0.95824939693419264	count ~ mut * base - mut : base
pos0	0.010388630797076633	7.18893251157703	3	0.066113541942796922	count ~ mut * base - mut : base
pos1	0.01487369729185974	10.29259852596694	3	0.016235886672534477	count ~ mut * base - mut : base
pos1:pos2	0.010384603418172156	7.186145565375131	9	0.61774586018626731	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.019428761230936776	13.444702771808249	9	0.14349451787790551	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.026097083319718467	18.05918165724518	9	0.034493102687790475	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.015183438809806118	10.506939656385834	9	0.31102363129197924	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.023168185056951868	16.032384059410692	9	0.066208395963090874	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.014947326426312116	10.343549887007985	9	0.3233954024632133	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.06960235648418413	48.164830687055414	27	0.0073591105228939082	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.058493331791633706	40.477385599810525	27	0.046198715458951309	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.025347493720998305	17.540465654930827	27	0.91693787631380574	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.07021309140523385	48.58745925242182	27	0.0065966175615443951	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	3.2812147457228864e-12	2.2706006040402373e-09	81	1.0	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
