Position	RE	Deviance	df	prob	formula
pos1	0.00576070620017	4.4703080113327935	3	0.214954084976	count ~ mut * base - mut : base
pos2	0.00667819608106	5.182280158899097	3	0.158926051554	count ~ mut * base - mut : base
pos3	0.00436448020455	3.3868366387282007	3	0.335738313021	count ~ mut * base - mut : base
pos0	0.00314978604921	2.4442339741843453	3	0.485453600037	count ~ mut * base - mut : base
pos1:pos2	0.0125004985076	9.700386841881715	9	0.375280626743	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00864557194957	6.708963832863119	9	0.667390849009	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00859258693178	6.6678474590588594	9	0.671656580156	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0193455974124	15.01218359199172	9	0.0906018573837	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0184222883539	14.295695762660525	9	0.112188696977	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00703902537166	5.462283688410091	9	0.792293184132	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0423782055234	32.88548748617284	27	0.200875274426	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0508935384156	39.49338581048431	27	0.0571001613763	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0476751233864	36.99589574785006	27	0.0951440923233	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0659077211639	51.14439162319852	27	0.00334794245833	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	4.43044721893e-12	3.438027041888285e-09	81	1.0	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
