start_base	count	direction	strand	fitted	ret	prob
A	4791	AtoT	+	4864.4946534	-0.00135403860205	0.217679
C	4493	CtoG	+	4561.65287281	-0.0010571715405	0.286787
A	4604	AtoC	-	4644.19223629	-0.000742914167475	0.217679
A	17327	AtoG	-	17360.3024171	-0.000617652220477	0.217679
C	21820	CtoT	-	21859.2179863	-0.000607965747117	0.286787
C	5839	CtoA	-	5868.4348865	-0.000455568636264	0.286787
C	5865	CtoA	+	5835.5651135	0.000457865871118	0.286787
C	21776	CtoT	+	21736.7820137	0.000609060560116	0.286787
A	17523	AtoG	+	17489.6975829	0.000618833825436	0.217679
A	4719	AtoC	+	4678.80776371	0.000749347923151	0.217679
C	4656	CtoG	-	4587.34712719	0.00107315937153	0.286787
A	4902	AtoT	-	4828.5053466	0.00137472928753	0.217679
