Position	RE	Deviance	df	prob	formula
pos2	0.0011726796054752182	22.135500232950218	3	6.1130465033071884e-05	count ~ mut * base - mut : base
pos3	0.0008123649658857842	15.334201096060063	3	0.0015522184712474208	count ~ mut * base - mut : base
pos0	0.00031192416904572305	5.887880614907068	3	0.11719433397207356	count ~ mut * base - mut : base
pos1	0.003816768699381193	72.0453259695194	3	1.5567057017216292e-15	count ~ mut * base - mut : base
pos1:pos2	0.001021705409539435	19.285711310466375	9	0.022870222922617249	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0012746406362856492	24.060116650527913	9	0.0042072726280070151	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0016072561236049646	30.33856658916731	9	0.00038415056785639438	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0008042821450300648	15.181629769587504	9	0.086066221423790931	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0013084809231383864	24.698885905160182	9	0.0033229631946528507	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0016107664382713543	30.404827288810086	9	0.00037427641712345735	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0018624434528271775	35.1554826155658	27	0.13497091416114079	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0021324343919394756	40.25183158224954	27	0.04852243698399504	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0013287239644608102	25.080993553162255	27	0.56992287116814455	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0014897951960763333	28.121374121136867	27	0.40473599225887591	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.004554520040780481	85.97112028977236	81	0.3317814447364611	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
