Position	RE	Deviance	df	prob	formula
pos1	0.00143950680839	27.58670847600759	3	4.4348280069e-06	count ~ mut * base - mut : base
pos3	0.00136415577221	26.14268121864508	3	8.9033565589e-06	count ~ mut * base - mut : base
pos2	0.00679054258299	130.13395806032636	3	5.06063575927e-28	count ~ mut * base - mut : base
pos0	0.00310012984079	59.41088826895806	3	7.85409985852e-13	count ~ mut * base - mut : base
pos1:pos2	0.00522902110236	100.20896040572215	9	1.42759220334e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00429352443939	82.28110235645443	9	5.68573246163e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00228624711398	43.81363969231547	9	1.52752423195e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00282471279846	54.132796069599735	9	1.78120682189e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00578222492341	110.81055843217537	9	1.00548436974e-19	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00170821458366	32.73622428125002	9	0.000148433273611	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2:pos3	0.00469782560625	90.02912991821489	27	1.04894005386e-08	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00316754999493	60.70292810274715	27	0.0002132046283	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00245298691869	47.00904130971233	27	0.00988428679013	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.001761187942	33.75140572048678	27	0.17339334029	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00453258177752	86.86239718446875	81	0.307823501809	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
