Position	RE	Deviance	df	prob	formula
pos3	0.00131633768042	30.881281982571156	3	9.00406950518e-07	count ~ mut * base - mut : base
pos0	0.00422016199634	99.00500043422467	3	2.54347766545e-21	count ~ mut * base - mut : base
pos2	0.0092651555689	217.36054964641846	3	7.46915039484e-47	count ~ mut * base - mut : base
pos1	0.00308140350983	72.28972634050817	3	1.37991220237e-15	count ~ mut * base - mut : base
pos0:pos1	0.00402164457613	94.34778175589264	9	2.17606267558e-16	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00229324053129	53.79942286398884	9	2.06101595468e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00480354536326	112.6911742221466	9	4.16021478384e-20	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000414033881835	9.713234867860114	9	0.374195406442	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00130465689008	30.607250641262123	9	0.000345625612597	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00333943703411	78.343192820207	9	3.44563950234e-13	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.00141350353835	33.160793009757256	27	0.191815308568	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00134513885548	31.556957549448743	27	0.248889977702	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00151931967702	35.643239622992375	27	0.12330862126	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00237903471624	55.81215444303966	27	0.000907870532819	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00425685058934	99.86571482586845	81	0.0760579753303	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
