Position	RE	Deviance	df	prob	formula
pos3	0.000444634797459	38.72946939785241	3	1.98048592431e-08	count ~ mut * base - mut : base
pos0	0.000551478564196	48.03598885568651	3	2.09225800961e-10	count ~ mut * base - mut : base
pos2	0.0768797182756	6696.53098068079	3	0	count ~ mut * base - mut : base
pos1	0.0041498790281	361.4710628633616	3	4.89473701072e-78	count ~ mut * base - mut : base
pos2:pos3	0.00117018983394	101.92821529549708	9	6.40625056979e-18	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.000570983707874	49.73496489068591	9	1.20816604418e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000275835199992	24.02634926008819	9	0.00425984699575	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000185041540948	16.117858382701638	9	0.0644608168003	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.000758759338777	66.09097344479048	9	8.84660284818e-11	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.000406971952118	35.44888491731317	9	4.96408541847e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2:pos3	0.000344293426428	29.98933461561089	27	0.314633267768	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.000484720056115	42.22105576784019	27	0.0313002363962	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000782918938308	68.19537120236025	27	2.02139784559e-05	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000581350116003	50.63792050436729	27	0.00383766344166	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00100474095526	87.51695616657344	81	0.290828341558	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
