Position	RE	Deviance	df	prob	formula
pos2	0.003920094254687038	342.14582654908463	3	7.4866452335119527e-74	count ~ mut * base - mut : base
pos3	0.0005483279919487023	47.85806713728273	3	2.2828445382379102e-10	count ~ mut * base - mut : base
pos0	0.0007184452360347401	62.705900201112115	3	1.5522025512196767e-13	count ~ mut * base - mut : base
pos1	0.07500378854345938	6546.330664073134	3	0	count ~ mut * base - mut : base
pos1:pos2	0.0011008791432377562	96.08473162179136	9	9.719117923493287e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	7.315198214327799e-05	6.384705001465304	9	0.70088293602059326	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0005055893223045724	44.127836050743085	9	1.3368978173193639e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0003067296425940371	26.77136320560756	9	0.0015258730122161904	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00022060239908339277	19.25417739199852	9	0.023116354153700558	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0006868848265627765	59.95130766239913	9	1.3699569266042152e-09	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0004201586931376204	36.67145073705151	27	0.10136518065882981	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0004258397313456333	37.167291751846875	27	0.091987013763877218	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0006162788743212296	53.78882015075692	27	0.0016145306983525115	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0004850847412357748	42.338196215058424	27	0.030473414655823934	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0008807176992982789	76.86904079475379	81	0.60934482051340955	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
