Position	RE	Deviance	df	prob	formula
pos2	0.0030096993852611587	70.29453884215962	3	3.691366461857327e-15	count ~ mut * base - mut : base
pos3	0.0036776972983561056	85.8962981004052	3	1.6663019669166278e-18	count ~ mut * base - mut : base
pos0	0.0016637122671133379	38.85766371069912	3	1.8604494598085965e-08	count ~ mut * base - mut : base
pos1	0.006871954096502191	160.50135987790517	3	1.4286734349185964e-34	count ~ mut * base - mut : base
pos1:pos2	0.005048979828495133	117.92397287433234	9	3.5529856863357713e-21	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0011577755374679137	27.041005453100592	9	0.0013770873550480803	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0027431706533477926	64.06949377959104	9	2.1879196293907316e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0007858079802116464	18.35333118582321	9	0.031288644473141503	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0012935616071253569	30.212424896019833	9	0.00040365799166375651	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0038820460666660513	90.66906793305229	9	1.1950553280471101e-15	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0010923356030588817	25.512590345043243	27	0.5457591777117301	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0021994548107061914	51.370466558853806	27	0.0031489571893345671	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0008347799252256572	19.49711993357045	27	0.85118325725585553	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0015103787371732024	35.27640578541732	27	0.13200150314928416	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.003296083716813827	76.98333128990375	81	0.60577490698456926	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
