Position	RE	Deviance	df	prob	formula
pos3	0.00358930728249	70.37913719498256	3	3.54055146487e-15	count ~ mut * base - mut : base
pos0	0.00172179627718	33.76098140298548	3	2.22525208154e-07	count ~ mut * base - mut : base
pos2	0.0015336865397	30.07252567044393	3	1.33241883085e-06	count ~ mut * base - mut : base
pos1	0.00971137803691	190.4207005476894	3	4.95142730902e-41	count ~ mut * base - mut : base
pos0:pos1	0.00371890503382	72.92028990320024	9	4.06253903782e-12	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00311015071601	60.98383523961026	9	8.66072671454e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00875893518745	171.74520115549777	9	2.67118308827e-32	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00182685281234	35.820929944448324	9	4.26544048229e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00419364629578	82.22901656762798	9	5.82315571186e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0030811786373	60.41575072009098	9	1.11474809376e-09	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.00404284730376	79.27214993221395	27	4.86591158855e-07	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00250910082096	49.19844889731343	27	0.00562393436865	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00199430398375	39.10431251346244	27	0.0619886256321	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00169870406035	33.30818921535549	27	0.187088869613	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00709841263017	139.18567485237713	81	6.25159284364e-05	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
