Position	RE	Deviance	df	prob	formula
pos2	0.00533854221641	370.0036839350555	3	6.94917122355e-80	count ~ mut * base - mut : base
pos0	0.000233059127633	16.15286201796286	3	0.00105501759112	count ~ mut * base - mut : base
pos3	0.00670021700559	464.3786402236101	3	2.4990095275e-100	count ~ mut * base - mut : base
pos1	0.0177425982656	1229.704000589876	3	2.6324624154e-266	count ~ mut * base - mut : base
pos0:pos2	0.000607957122113	42.13629221941383	9	3.10327491977e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000413612987699	28.666688951421186	9	0.00073745435298	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0018776878261	130.13878785141708	9	1.11050328307e-23	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00114740642003	79.52444415958443	9	2.00869950665e-13	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00119673564394	82.94335401010143	9	4.19623999368e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.000520802820553	36.095801886905925	9	3.81242921979e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2:pos3	0.00109000716279	75.54621643862886	27	1.75358334349e-06	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000521271049118	36.12825387229676	27	0.11252396415	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00056823740573	39.383398116317565	27	0.0584471469886	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000638789945363	44.27325353319858	27	0.0193734749238	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00142835738335	98.99659352537773	81	0.0849527401251	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
