start_base	count	direction	strand	fitted	ret	prob
C	14068	CtoT	-	14176.8177941	-0.00267229790024	0.034685
C	2950	CtoG	+	3034.78308352	-0.00206063506679	0.034685
C	3160	CtoA	+	3184.03471058	-0.000590271382674	0.034685
A	3053	AtoC	+	3064.87915605	-0.000351333641169	0.916640
A	2664	AtoT	-	2674.45362413	-0.000309167529409	0.916640
A	11243	AtoG	-	11244.4255319	-4.22403114128e-05	0.916640
A	11015	AtoG	+	11013.5744681	4.22457229617e-05	0.916640
A	2630	AtoT	+	2619.54637587	0.000310390999921	0.916640
A	3141	AtoC	-	3129.12084395	0.000352684055293	0.916640
C	3304	CtoA	-	3279.96528942	0.000594678933181	0.034685
C	3211	CtoG	-	3126.21691648	0.00211819566542	0.034685
C	13871	CtoT	+	13762.1822059	0.00269319782772	0.034685
