Position	RE	Deviance	df	prob	formula
pos2	0.017461374152404934	769.3481451549613	3	1.9219313262917374e-166	count ~ mut * base - mut : base
pos3	0.001371568937503188	60.431327386390464	3	4.7543512143075156e-13	count ~ mut * base - mut : base
pos0	0.009161917730145783	403.67409519022317	3	3.5425123447131693e-87	count ~ mut * base - mut : base
pos1	0.006840811650691944	301.4061613294871	3	4.9366640916782279e-65	count ~ mut * base - mut : base
pos1:pos2	0.0012175716400336237	53.64620645988146	9	2.2038726223912026e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.000853291976714862	37.59604449405682	9	2.0593216941105858e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0009238033332084382	40.70277486116379	9	5.6649761557318932e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0005544097918757808	24.427295430046904	9	0.0036745085087877775	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0010717540586031673	47.22148382205555	9	3.56888353221276e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0044691494862798675	196.91072636549094	9	1.4710502882687845e-37	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0006561906667706147	28.911760777913283	27	0.36519097704249964	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.001651903196450062	72.78285483558973	27	4.4574225022481421e-06	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0006163070113988722	27.15448692223431	27	0.45548381708644109	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0008650314093072982	38.11328389407956	27	0.076089130702657784	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.002317850752398109	102.12450415066067	81	0.056438244551475968	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
