Position	RE	Deviance	df	prob	formula
pos2	0.008306271436678047	87.38197551385305	3	7.9943569513658481e-19	count ~ mut * base - mut : base
pos3	0.0028038850025436115	29.496870226758794	3	1.76077020055938e-06	count ~ mut * base - mut : base
pos0	0.006140494310002444	64.59800014122571	3	6.1142831894898989e-14	count ~ mut * base - mut : base
pos1	0.00341116772592823	35.88548447676498	3	7.9176846700945458e-08	count ~ mut * base - mut : base
pos1:pos2	0.007865686344052115	82.74702033942825	9	4.5917823687804967e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.005068874110836393	53.324555645998856	9	2.5365907932836224e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00534045811083901	56.181619326026386	9	7.24661316612001e-09	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0033092578654441737	34.81339274447271	9	6.4271851923680779e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.001118636287456441	11.768053744041758	9	0.22670342400706775	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.002759243299278664	29.027239508411547	9	0.00064122091408181931	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0040121022986723525	42.207316182033146	27	0.031398517784608101	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.006550315469608958	68.90931874028624	27	1.602739531784573e-05	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.004169698029397289	43.865223269259474	27	0.021350244633976168	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.005296075498980751	55.7147142492775	27	0.00093370531592393399	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.009351301897840348	98.37569596528047	81	0.091804205659705831	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
