Position	RE	Deviance	df	prob	formula
pos2	0.00568617459325	71.87324685862345	3	1.69460159706e-15	count ~ mut * base - mut : base
pos1	0.00233358072166	29.49646032175022	3	1.76111963063e-06	count ~ mut * base - mut : base
pos0	0.00215433525588	27.23079763427394	3	5.26657485207e-06	count ~ mut * base - mut : base
pos3	0.00204698654504	25.873909929292587	3	1.01351004083e-05	count ~ mut * base - mut : base
pos2:pos3	0.00323189979957	40.85121346659848	9	5.32364444341e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00564009286381	71.29077379849903	9	8.49728453957e-12	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00438948921651	55.48314369662825	9	9.85158503699e-09	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00226496928578	28.62921177225653	9	0.000748231287541	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.000919278700879	11.619682779116122	9	0.235608507528	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0012862952806	16.258772346724765	9	0.0616704794112	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.00174276323499	22.02852729033334	27	0.735926139969	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00293475982093	37.095364136528524	27	0.0933011766917	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00230274426813	29.1066875491182	27	0.355744838872	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00364895217708	46.122755518321746	27	0.0123413050644	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00807690347209	102.09205988725715	81	0.0566868678898	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
