Position	RE	Deviance	df	prob	formula
pos2	0.006500838223043947	76.70989103191857	3	1.5580425203117258e-16	count ~ mut * base - mut : base
pos3	0.001881180166629869	22.197925966232454	3	5.9328693252073577e-05	count ~ mut * base - mut : base
pos0	0.00400485350879407	47.257271403770034	3	3.0640997386119886e-10	count ~ mut * base - mut : base
pos1	0.0033576017921792484	39.61970114771513	3	1.2828051458459682e-08	count ~ mut * base - mut : base
pos1:pos2	0.000863605376360614	10.190543441055246	9	0.33528112728010101	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0014902484837702413	17.584932108488847	9	0.04030609586714054	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0032161064843521632	37.95005651535553	9	1.7794667751533469e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0010202551039202388	12.039010226258817	9	0.21111902098854907	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.001972994835532484	23.28133905928331	9	0.005594452785522337	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0016767868198029237	19.7860844736745	9	0.019279433390383259	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0022231825731635463	26.233554363329848	27	0.50566921028377498	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.002680587458892225	31.630932014928256	27	0.24602874475316758	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0027780425864332567	32.78090251991243	27	0.20439661231813311	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.003907763372166504	46.11160779156475	27	0.012375519820092105	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.007849094520242583	92.61931533886248	81	0.1776434619835561	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
