Position	RE	Deviance	df	prob	formula
pos2	0.08165466573452432	4530.527473614347	3	0	count ~ mut * base - mut : base
pos3	0.000394395725527686	21.88265243517813	3	6.9003138848879839e-05	count ~ mut * base - mut : base
pos0	0.0004434780931252576	24.605938518961793	3	1.8665084959836196e-05	count ~ mut * base - mut : base
pos1	0.0026864720223000356	149.05621368529518	3	4.2107011144218127e-32	count ~ mut * base - mut : base
pos1:pos2	0.000827044808920431	45.88775417814119	9	6.3179950371609365e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00033744284354981645	18.722678731518016	9	0.027656913115934257	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0008361931481319864	46.39534063095513	9	5.0852469062528424e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0003618557349518998	20.077203598071208	9	0.017441885011630315	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00028607795659375395	15.872749343647843	9	0.069586937178985023	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0004946489384214464	27.445101699375535	9	0.0011801896039182489	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0008176285301326924	45.36530136588231	27	0.014875148133877083	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0006124182734806083	33.97941548579807	27	0.16664659283210748	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0006015414279299886	33.375924587267484	27	0.18494575017748233	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0009828824335182396	54.534248941326005	27	0.0013082199447431067	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.001790414932545155	99.33938211733538	81	0.081349556497731096	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
