Position	RE	Deviance	df	prob	formula
pos2	0.00240617582391	135.40032596279178	3	3.70779227112e-29	count ~ mut * base - mut : base
pos1	0.0825311371943	4644.1921521993445	3	0	count ~ mut * base - mut : base
pos0	0.000613630305933	34.530204575449886	3	1.5309903538e-07	count ~ mut * base - mut : base
pos3	0.00115083959177	64.76004550795035	3	5.64528394949e-14	count ~ mut * base - mut : base
pos1:pos3	0.000227664504128	12.811136976271207	9	0.171339983464	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000266571960081	15.000537337678734	9	0.0909212178922	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00134970398381	75.95054257707609	9	1.02553016133e-12	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.000360106701407	20.263924301590723	9	0.0163516857318	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.000295318884723	16.618184281141716	9	0.0550418912292	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00113978510051	64.13798717572911	9	2.12192210321e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2:pos3	0.00071108768644	40.014326291331955	27	0.0510790004442	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00113212899741	63.70716294222597	27	8.44310504392e-05	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.000749789087444	42.192131528630604	27	0.0315074566469	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000276063421536	15.534640856681685	27	0.961246365175	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00174868146044	98.40180314163811	81	0.0915075267832	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
