Position	RE	Deviance	df	prob	formula
pos2	0.00399331203395227	50.17197239457633	3	7.3430467325118987e-11	count ~ mut * base - mut : base
pos3	0.000792062188216964	9.951469332757936	3	0.018983200635607642	count ~ mut * base - mut : base
pos0	0.0005706495694391331	7.169641190433268	3	0.066682855518346837	count ~ mut * base - mut : base
pos1	0.002229979281347243	28.017459690846756	3	3.6015171452070623e-06	count ~ mut * base - mut : base
pos1:pos2	0.0020363286602231114	25.584433287043172	9	0.0023883411794764883	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0011144350845960053	14.00176240286421	9	0.12226254976409658	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0018635698628144157	23.413891756400318	9	0.0053307438466934564	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.001063629252661931	13.363437930444503	9	0.14683877376995788	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0007204194440387596	9.051349894902975	9	0.43254771381156903	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.005119593309418131	64.3225703395294	9	1.953772364462778e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.002262813284266218	28.429986103520765	27	0.38906739041442884	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0017166715105275654	21.56826085826833	27	0.75897957010738382	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0021339373085840986	26.810788345050614	27	0.4740385588752889	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.002829647288532822	35.551688533126374	27	0.12543418350865979	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.006113767953589521	76.81338056889874	81	0.61108136455046624	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
