Position	RE	Deviance	df	prob	formula
pos2	0.00032313276100389684	8.005937286632548	3	0.045889159109110282	count ~ strand * mut * base - strand : mut : base
pos3	0.00013463600585328586	3.3357416810210108	3	0.34269896816574247	count ~ strand * mut * base - strand : mut : base
pos0	0.00011627990507425104	2.8809509281196437	3	0.4103467266905807	count ~ strand * mut * base - strand : mut : base
pos1	0.0001564953964468343	3.8773299423667664	3	0.27501858432955972	count ~ strand * mut * base - strand : mut : base
pos1:pos2	0.0008061762470084888	19.97382269588232	9	0.018074643108397841	count ~ strand * mut * base1 * base2 - strand : mut : base1 : base2
pos1:pos3	0.0005799082132772278	14.367805892156596	9	0.10983001810928204	count ~ strand * mut * base1 * base2 - strand : mut : base1 : base2
pos2:pos3	0.0003638685603183202	9.015207450446702	9	0.43587159095305089	count ~ strand * mut * base1 * base2 - strand : mut : base1 : base2
pos0:pos3	0.0003724767698216254	9.228484449100591	9	0.41645615338724778	count ~ strand * mut * base1 * base2 - strand : mut : base1 : base2
pos0:pos2	0.0004027684011920718	9.978989907934771	9	0.35218878126854741	count ~ strand * mut * base1 * base2 - strand : mut : base1 : base2
pos0:pos1	0.00020326944974021304	5.036203886763518	9	0.83114091950083469	count ~ strand * mut * base1 * base2 - strand : mut : base1 : base2
pos0:pos1:pos3	0.0011670309504615097	28.914358828634363	27	0.36506424295544565	count ~ strand * mut * base1 * base2 * base3 - strand : mut : base1 : base2 : base3
pos0:pos1:pos2	0.001390365535171032	34.44769649939749	27	0.15341549723988598	count ~ strand * mut * base1 * base2 * base3 - strand : mut : base1 : base2 : base3
pos0:pos2:pos3	0.0009387759645407384	23.259113297461333	27	0.67101668791597158	count ~ strand * mut * base1 * base2 * base3 - strand : mut : base1 : base2 : base3
pos1:pos2:pos3	0.0007578649858610942	18.77686288969447	27	0.87798880054377038	count ~ strand * mut * base1 * base2 * base3 - strand : mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0038730920159013816	95.95972778597263	81	0.12270829483303929	count ~ strand * mut * base1 * base2 * base3 * base4 - strand : mut : base1 : base2 : base3 : base4
