start_base	count	direction	strand	fitted	ret	prob
C	62943	CtoT	-	63708.408925222146	-0.0047404650299933439	7.97e-50
A	1960	AtoC	+	2012.7349501533711	-0.0024941522007600144	0.164974
C	3267	CtoG	+	3684.0215217241903	-0.0024454881524689268	7.97e-50
C	2447	CtoA	+	2795.3874034980449	-0.0020295165178500895	7.97e-50
A	3870	AtoG	-	3908.1254313650306	-0.0018183885520100811	0.164974
A	4491	AtoT	-	4505.6095187883284	-0.00069908969201852589	0.164974
A	4528	AtoT	+	4513.3904812116298	0.00070135823885333134	0.164974
A	3953	AtoG	+	3914.8745686349594	0.0018361999602787735	0.164974
C	2432	CtoA	-	2083.6125965019319	0.0023429228676160609	7.97e-50
A	2062	AtoC	-	2009.265049846626	0.0025604396017577897	0.164974
C	3163	CtoG	-	2745.9784782757392	0.0027864584476927985	7.97e-50
C	86237	CtoT	+	85471.591074777447	0.0047905208923247752	7.97e-50
