Position	RE	Deviance	df	prob	formula
pos1	0.0167056350743	130.9721789826671	3	3.33857427659e-28	count ~ mut * base - mut : base
pos3	0.00100498714986	7.879099254872667	3	0.0485775724399	count ~ mut * base - mut : base
pos0	0.00037043861706	2.9042387577500577	3	0.406626543215	count ~ mut * base - mut : base
pos2	0.00445598107684	34.93489164245993	3	1.25745207835e-07	count ~ mut * base - mut : base
pos0:pos3	0.00136137813228	10.673204557106697	9	0.298775738557	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00292703700213	22.947970096731982	9	0.00631423239759	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00599602407571	47.00882875353652	9	3.90982477682e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00344933236421	27.042765735432038	9	0.00137616401504	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.0101444988659	79.53287110840442	9	2.00097633674e-13	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00511207349562	40.07865620562452	9	7.35319747799e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0062426965425	48.9427408931982	27	0.00601342130597	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.005460784261	42.812548606242764	27	0.0273215773275	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00727636626434	57.04671151239279	27	0.000634453268813	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00776304260348	60.86225401130305	27	0.000203117811857	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0175746948972	137.7856079941209	81	8.54483650701e-05	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
