Position	RE	Deviance	df	prob	formula
pos1	0.0319075718836	312.3113135970376	3	2.15316751247e-67	count ~ mut * base - mut : base
pos3	0.000810173272126	7.929975987574101	3	0.0474812771745	count ~ mut * base - mut : base
pos0	0.00702888285999	68.79870543355791	3	7.71723037833e-15	count ~ mut * base - mut : base
pos2	0.00852447785881	83.43758928199745	3	5.61685425567e-18	count ~ mut * base - mut : base
pos2:pos3	0.00556753169576	54.49500023806133	9	1.51987219801e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00852754283872	83.46758930534892	9	3.29885276384e-14	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00368556616257	36.074321599235034	9	3.84605223687e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.0102001881509	99.83944162069596	9	1.69568127445e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00191999832006	18.792943556772983	9	0.0270121543662	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0021286314456	20.83504458949621	9	0.0134033285897	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2:pos3	0.00487878670897	47.753564307396154	27	0.00817933861655	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00409747662769	40.10610123183664	27	0.0500775245552	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00390597670696	38.23170000773502	27	0.0742727470908	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00344004027808	33.67111424179995	27	0.175817223199	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0168071892867	164.50876873819058	81	1.23737783255e-07	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
