Position	RE	Deviance	df	prob	formula
pos2	0.0264041371486	345.0492642578485	3	1.76050842133e-74	count ~ mut * base - mut : base
pos1	0.00710370040359	92.83115687415005	3	5.39960922021e-20	count ~ mut * base - mut : base
pos0	0.00223659407984	29.22781143532466	3	2.00567994085e-06	count ~ mut * base - mut : base
pos3	0.000805207725432	10.52245455595098	3	0.0146093460505	count ~ mut * base - mut : base
pos0:pos3	0.000650762115556	8.5041593260901	9	0.484242353178	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00184018812634	24.047578435068814	9	0.00422672068177	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.003458362113	45.19387609264072	9	8.49514573661e-07	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00100191601651	13.093038503705962	9	0.158441364642	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0021732505456	28.40003812994621	9	0.000817554915516	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00119802092271	15.655737417975448	9	0.0744281281572	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2:pos3	0.00245499028566	32.08181305297872	27	0.229067755866	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00408400387231	53.36976260331862	27	0.00181558524753	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00374241328112	48.9058567576822	27	0.00607164280359	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.0036067768104	47.13335935834565	27	0.00957839423252	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00910756362902	119.01764150409261	81	0.00382325620841	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
