Position	RE	Deviance	df	prob	formula
pos1	0.0289888381161	7298.5777501718285	3	0	count ~ mut * base - mut : base
pos3	0.0193091711218	4861.5086316822635	3	0	count ~ mut * base - mut : base
pos0	0.00776645070556	1955.3748270410222	3	0	count ~ mut * base - mut : base
pos2	0.0917818624826	23108.103080974688	3	0	count ~ mut * base - mut : base
pos1:pos3	0.00242479432562	610.4953169505643	9	1.17019193657e-125	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00897558018467	2259.7997742537586	9	0	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00392150457628	987.3250501785069	9	9.32254513303e-207	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00218627715999	550.4433731239927	9	8.94382246608e-113	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00067428063198	169.76498327497103	9	6.90692578037e-32	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0050850445514	1280.2718367946572	9	5.63882643413e-270	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.000583241793985	146.84395295518433	27	1.91680951347e-18	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.000544456593722	137.07892551468515	27	1.0854407861e-16	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.000940681316546	236.8372164293571	27	2.01391659501e-35	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.000211197687522	53.17366418291446	27	0.00191765194389	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.000598701693762	150.73632284185496	81	4.15221477731e-06	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
