Position	RE	Deviance	df	prob	formula
pos2	0.005920175048007122	74.90205470738611	3	3.802757952481333e-16	count ~ mut * base - mut : base
pos3	0.0025697647423248106	32.5126635198935	3	4.0805706115951853e-07	count ~ mut * base - mut : base
pos0	0.0024078992636285585	30.464741483428522	3	1.1018342351642507e-06	count ~ mut * base - mut : base
pos1	0.02542761160520267	321.71014202902415	3	1.9885953850894006e-69	count ~ mut * base - mut : base
pos1:pos2	0.002443997592819155	30.921457544347952	9	0.00030535677978755794	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0020828892425859527	26.352714697197474	9	0.001788310570765189	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.002683192748927173	33.94775465942659	9	9.1225272025733178e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0011295681272994972	14.29129594659324	9	0.11233402411708364	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.002830100930816565	35.80643697669118	9	4.2907455563975183e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0015367399054481362	19.44283328372982	9	0.021680064200177707	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.004032639478757611	51.0209546852413	27	0.0034615433525686493	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.003945495152195206	49.91840466557375	27	0.0046505413237093946	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0011833207362655317	14.971373955231508	27	0.96983151699814441	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.004304596058201885	54.461749328370246	27	0.0013353824844768664	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.012366344833204165	156.4589948296991	81	9.9828386914786535e-07	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
