Position	RE	Deviance	df	prob	formula
pos1	0.0127609996535	124.13900462932719	3	9.90624286289e-27	count ~ mut * base - mut : base
pos2	0.0242335702074	235.74417097736904	3	7.92127137275e-51	count ~ mut * base - mut : base
pos0	0.00129944520421	12.641002946601485	3	0.00548092207117	count ~ mut * base - mut : base
pos3	0.00598675415	58.23914437117877	3	1.39750032723e-12	count ~ mut * base - mut : base
pos0:pos1	0.00525219516922	51.09335460619775	9	6.70503715049e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.00189505459853	18.435091134508475	9	0.030448403968	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00183032553414	17.805406796143163	9	0.0374994713502	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0033081911285	32.18208329807427	9	0.000185198843613	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00781766531529	76.0502481871555	9	9.80025421597e-13	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00645400814104	62.78459119607793	9	3.88387040094e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos2	0.0042719479436	41.55750959536237	27	0.0363729901221	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00522273223124	50.806739145523245	27	0.00366737377486	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00262491685349	25.535191150797374	27	0.54449595899	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.00338405407596	32.92007805098684	27	0.199720283974	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0121418479974	118.11589731872037	81	0.00449866998926	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
