Position	RE	Deviance	df	prob	formula
pos2	0.01226644928318539	220.35449492314234	3	1.6830152870254704e-47	count ~ mut * base - mut : base
pos3	0.0048229108218091725	86.63877000297998	3	1.1543965078715226e-18	count ~ mut * base - mut : base
pos0	0.0007339738755859862	13.185106701026655	3	0.0042529309141064826	count ~ mut * base - mut : base
pos1	0.00445074671849472	79.95321405103914	3	3.1410266911555725e-17	count ~ mut * base - mut : base
pos1:pos2	0.0023515219171498787	42.24273971968042	9	2.9672024078626104e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0036156715741073324	64.95192415726412	9	1.4741233794876242e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.004183162638743744	75.14633364239262	9	1.4785767586141899e-12	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000895870203288779	16.093412331879627	9	0.064956333654816234	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0007432088811440861	13.351004340872363	9	0.14735619004761771	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0021330589303403444	38.318270624633946	9	1.5282229284784437e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0024480980669088904	43.97763367395131	27	0.020788141985887042	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.002761469543790981	49.60703888466118	27	0.0050502980332039673	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.002880550226356346	51.7462042662654	27	0.0028427683703642708	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0044349188024375655	79.66888136698843	27	4.2384907880863818e-07	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0053706560182141755	96.47846471119945	81	0.11547890519290674	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
