Position	RE	Deviance	df	prob	formula
pos2	0.013654948968333648	112.62601909081593	3	2.9863183947147651e-24	count ~ mut * base - mut : base
pos3	0.007137729757057122	58.87199503620714	3	1.0237659859393136e-12	count ~ mut * base - mut : base
pos0	0.006158139424049635	50.79233396956139	3	5.4167034782740068e-11	count ~ mut * base - mut : base
pos1	0.008372543962757682	69.05674260482536	3	6.7954730814865589e-15	count ~ mut * base - mut : base
pos1:pos2	0.011782539206410468	97.18238337447355	9	5.8367739181011511e-17	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.006792891861640374	56.0277720748098	9	7.7540820472581395e-09	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.004774324767937019	39.37863068594453	9	9.8432936805409832e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0011406759199545837	9.408294987785407	9	0.40046971179046936	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0011172281525554943	9.214897802277717	9	0.41767853041689923	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0037326689353906315	30.787053379101927	9	0.00032198582990556951	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.003403587079553263	28.072786232155313	27	0.40722800482636257	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.004405987536798671	36.34058520351544	27	0.10804889916837779	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.007435728667796754	61.329890051987626	27	0.00017610785293819831	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.005534173079110094	45.645859556500056	27	0.013885581731953946	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.012086512852016557	99.68955800343257	81	0.077796992942305937	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
