Position	RE	Deviance	df	prob	formula
pos1	0.0132155200269	212.61128619254984	3	7.93976185518e-46	count ~ mut * base - mut : base
pos3	0.00225670050315	36.30579769469442	3	6.45248886275e-08	count ~ mut * base - mut : base
pos0	0.00225648765225	36.302373349360835	3	6.4632568223e-08	count ~ mut * base - mut : base
pos2	0.00505052554617	81.25285498678954	3	1.65301092652e-17	count ~ mut * base - mut : base
pos2:pos3	0.0031271443197	50.30949781538336	9	9.42085859057e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00486398745027	78.25183009998501	9	3.5923800998e-13	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00123597759315	19.884407518605123	9	0.0186393221265	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.000878484366951	14.133056495506416	9	0.117670247997	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.00930340754948	149.67322065597006	9	1.03071753802e-27	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00268256543234	43.15711267551261	9	2.01708043083e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2:pos3	0.00250985714938	40.37858181927021	27	0.0472043515412	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00186378619549	29.984592313059935	27	0.314846582233	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00286693138529	46.12319212658559	27	0.0123399667967	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00390314134115	62.79373789634125	27	0.000112202651057	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00621374341295	99.9667040276072	81	0.0750753356992	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
