Position	RE	Deviance	df	prob	formula
pos1	0.0133663687438	418.260410729919	3	2.45247104616e-90	count ~ mut * base - mut : base
pos0	0.008097241682	253.3788867130787	3	1.21619464543e-54	count ~ mut * base - mut : base
pos2	0.0105011853366	328.6030915538262	3	6.40231212038e-71	count ~ mut * base - mut : base
pos3	0.00146696467655	45.90425865873402	3	5.94364573439e-10	count ~ mut * base - mut : base
pos0:pos3	0.00295264217276	92.39407887009453	9	5.38032452255e-16	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.00385801681137	120.72506206137669	9	9.49326576164e-22	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.00452454646123	141.5821078648999	9	4.86196108702e-26	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos2	0.01637638498	512.4498387936778	9	1.23997118842e-104	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.00303434418963	94.95069838185255	9	1.64521076488e-16	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.00215627312739	67.47409870219929	9	4.75263299004e-11	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2:pos3	0.00195016029892	61.024416073942064	27	0.000193326272204	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.00315189030119	98.6289513047415	27	4.31785466196e-10	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.00300648428909	94.07890637410934	27	2.36375927847e-09	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos3	0.00157779451861	49.37234607646297	27	0.00537270266346	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.00362750524679	113.51189418247455	81	0.0100008654493	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
