Position	RE	Deviance	df	prob	formula
pos2	0.004093563387308038	147.67939276052476	3	8.3433183851211697e-32	count ~ mut * base - mut : base
pos3	0.0006373661524325853	22.99362131515795	3	4.0506836279486248e-05	count ~ mut * base - mut : base
pos0	0.004685304483351117	169.02704454137492	3	2.0639955128639902e-36	count ~ mut * base - mut : base
pos1	0.011574129181952539	417.54828436811977	3	3.4984195700053342e-90	count ~ mut * base - mut : base
pos1:pos2	0.0011862067625608003	42.79359516614343	9	2.3520065307161349e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0005224890164811877	18.849313758575327	9	0.026505071284029628	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0017023962304157257	61.41564640847772	9	7.1473691444098893e-10	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0008866474392820615	31.98669301953965	9	0.00020018598256125712	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0030289184465861264	109.27126187904109	9	2.0690110615833255e-19	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.002474114189742577	89.2561435091532	9	2.2954864526414483e-15	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0011044178271885443	39.84297753365392	27	0.052995541635658984	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.002729776187865809	98.47940575344693	27	4.5678665767748016e-10	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0012968611091767415	46.785561374660126	27	0.01045704657283289	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.002496036657269496	90.04701844765434	27	1.0421112480542765e-08	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0030032424834396548	108.34497583256899	81	0.022943624625857053	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
