Position	RE	Deviance	df	prob	formula
pos2	0.01043215950331011	203.5940248666001	3	7.0560141517373125e-44	count ~ mut * base - mut : base
pos3	0.0005754374411833983	11.230237102135202	3	0.010543869265266044	count ~ mut * base - mut : base
pos0	0.005568144986342762	108.66791755346534	3	2.1232201560207669e-23	count ~ mut * base - mut : base
pos1	0.02758405089531268	538.3303372729223	3	2.3513730544038608e-116	count ~ mut * base - mut : base
pos1:pos2	0.007618297521646781	148.67869443245857	9	1.6561628568140752e-27	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.002116795581195499	41.311382562611364	9	4.3896304073701087e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.004757101472347125	92.83959233432648	9	4.3773921623892423e-16	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.002241233469738044	43.739912395407664	9	1.576021059421184e-06	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.0014661292567002512	28.612978573762103	9	0.00075294687216940679	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0065356525043447295	127.54979427479174	9	3.7814037520605209e-23	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.001762234485605095	34.391768221069036	27	0.15495201260888788	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0024881793386312234	48.559307972726955	27	0.0066450195764961766	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0019822410307082186	38.68541595530159	27	0.067649505588425682	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.002869136910101122	55.9940759375335	27	0.0008614583958809134	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.008611403917689399	168.0601588576263	81	4.7857817420205351e-08	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
