Position	RE	Deviance	df	prob	formula
pos2	0.025892993731541608	665.9677987752501	3	5.0262868818675647e-144	count ~ mut * base - mut : base
pos3	0.0010568817902287739	27.182999644684067	3	5.3895354036865909e-06	count ~ mut * base - mut : base
pos0	0.0022173413142998638	57.03001860379249	3	2.5322404347382148e-12	count ~ mut * base - mut : base
pos1	0.006320828200209144	162.5717013093792	3	5.1063822443650525e-35	count ~ mut * base - mut : base
pos1:pos2	0.0028171504698900987	72.45711008557333	9	5.0114897234430808e-12	count ~ mut * base1 * base2 - mut : base1 : base2
pos1:pos3	0.0020548592411960996	52.85097968356368	9	3.1193486235936001e-08	count ~ mut * base1 * base2 - mut : base1 : base2
pos2:pos3	0.0014205868329118922	36.53749334249387	9	3.1818848285916648e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos3	0.0006651011256734572	17.10640095232132	9	0.047075587239532535	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos2	0.001327870686203953	34.15283404916567	9	8.3976638725758926e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1	0.0013151427202889522	33.82547076583185	9	9.5836811037684476e-05	count ~ mut * base1 * base2 - mut : base1 : base2
pos0:pos1:pos3	0.0010565060507045918	27.1733356241221	27	0.45447321998084922	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2	0.0024528736450673844	63.08791015113312	27	0.00010240934480257114	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos2:pos3	0.0014815459292603734	38.1053613005768	27	0.076211983430515245	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos1:pos2:pos3	0.0021905837241473387	56.34181338506955	27	0.00077899428941561428	count ~ mut * base1 * base2 * base3 - mut : base1 : base2 : base3
pos0:pos1:pos2:pos3	0.0045210062125693755	116.28027978728434	81	0.0062259823555031795	count ~ mut * base1 * base2 * base3 * base4 - mut : base1 : base2 : base3 : base4
