Position	RE	Deviance	df	prob	formula
pos18	0.000166993639629	127.47025297606795	3	1.89757329574e-27	count ~ mut * base - mut : base
pos4	0.000288405333499	220.14671278782566	3	1.8663984238e-47	count ~ mut * base - mut : base
pos13	0.000278347964711	212.4696818147862	3	8.51948112899e-46	count ~ mut * base - mut : base
pos12	0.00104204367042	795.4169426791321	3	4.26764161413e-172	count ~ mut * base - mut : base
pos5	0.0003422117128	261.2184134611789	3	2.45040187055e-56	count ~ mut * base - mut : base
pos6	0.0007079945628	540.4292416551214	3	8.248825531e-117	count ~ mut * base - mut : base
pos9	0.00207030968053	1580.317066582209	3	0	count ~ mut * base - mut : base
pos8	0.00123608922104	943.5365685603938	3	3.18725186681e-204	count ~ mut * base - mut : base
pos15	0.000241946643444	184.68367966036817	3	8.58886120614e-40	count ~ mut * base - mut : base
pos1	8.46868967867e-05	64.64354080282699	3	5.97867605442e-14	count ~ mut * base - mut : base
pos11	0.00135520053722	1034.4570948755834	3	6.02853086899e-224	count ~ mut * base - mut : base
pos14	0.000282447116309	215.59866260968272	3	1.79518366923e-46	count ~ mut * base - mut : base
pos16	0.00022867998685	174.55692228233914	3	1.32075262982e-37	count ~ mut * base - mut : base
pos19	0.000191863883427	146.45430695332794	3	1.5331267343e-31	count ~ mut * base - mut : base
pos10	0.00934433708211	7132.756758864389	3	0	count ~ mut * base - mut : base
pos17	0.000228490895047	174.4125839711557	3	1.41901355727e-37	count ~ mut * base - mut : base
pos0	0.000167411183096	127.78897392535305	3	1.62003034177e-27	count ~ mut * base - mut : base
pos7	0.000393394613749	300.2875501453227	3	8.62054701628e-65	count ~ mut * base - mut : base
pos3	0.000149553185196	114.15753553677382	3	1.39782901429e-24	count ~ mut * base - mut : base
pos2	0.000164402712184	125.49253587546207	3	5.06187430996e-27	count ~ mut * base - mut : base
