Position	RE	Deviance	df	prob	formula
pos17	4.11034354851e-05	165.8661729365108	3	9.9318972654e-36	count ~ mut * base - mut : base
pos4	4.38377879985e-05	176.90020407083648	3	4.11952867743e-38	count ~ mut * base - mut : base
pos7	9.4075045778e-05	379.6244189294882	3	5.73272999897e-82	count ~ mut * base - mut : base
pos0	4.41657536829e-05	178.22365580392608	3	2.13336033113e-38	count ~ mut * base - mut : base
pos10	0.0860675596205	347311.5217687298	3	0	count ~ mut * base - mut : base
pos18	2.32458918341e-05	93.80498417028184	3	3.33516574279e-20	count ~ mut * base - mut : base
pos2	2.3336019793e-05	94.16868076748524	3	2.78589445923e-20	count ~ mut * base - mut : base
pos6	3.76093689643e-06	15.176644051908966	3	0.00167175047015	count ~ mut * base - mut : base
pos11	0.000569549778363	2298.3247244213153	3	0	count ~ mut * base - mut : base
pos1	8.35403015012e-05	337.1131860987199	3	9.20263660818e-73	count ~ mut * base - mut : base
pos15	4.72491179223e-05	190.66606652012138	3	4.38254715948e-41	count ~ mut * base - mut : base
pos3	0.000100259544399	404.5809488554214	3	2.25359298057e-87	count ~ mut * base - mut : base
pos19	1.85081910148e-05	74.68676949688587	3	4.22900621417e-16	count ~ mut * base - mut : base
pos9	0.00467725038907	18874.276876035296	3	0	count ~ mut * base - mut : base
pos13	8.63735053576e-05	348.5461156158458	3	3.07952357717e-75	count ~ mut * base - mut : base
pos16	1.47479693178e-05	59.51301151520306	3	7.46932962296e-13	count ~ mut * base - mut : base
pos5	4.8896472812e-05	197.31369701133985	3	1.60538171859e-42	count ~ mut * base - mut : base
pos14	3.82434881129e-05	154.3253243476538	3	3.0734599875e-33	count ~ mut * base - mut : base
pos12	0.000149843701782	604.6696841738142	3	9.79629860768e-131	count ~ mut * base - mut : base
pos8	0.000374118674615	1509.69455594688	3	0	count ~ mut * base - mut : base
