Position	RE	Deviance	df	prob	formula
pos8	0.00183073583322	1799.3936357576729	3	0	count ~ mut * base - mut : base
pos13	0.00111710860799	1097.9837086197635	3	9.96552245941e-238	count ~ mut * base - mut : base
pos5	4.27554846112e-05	42.02351071466057	3	3.96629907792e-09	count ~ mut * base - mut : base
pos19	0.000107868257562	106.02155299263927	3	7.87751563662e-23	count ~ mut * base - mut : base
pos14	0.000431928700833	424.5340814750971	3	1.07278146262e-91	count ~ mut * base - mut : base
pos17	0.000248610476401	244.35426504533734	3	1.08858434723e-52	count ~ mut * base - mut : base
pos7	0.000751484015767	738.6186094168376	3	8.86632867207e-160	count ~ mut * base - mut : base
pos2	4.97128733212e-05	48.861788929957726	3	1.39589339621e-10	count ~ mut * base - mut : base
pos16	0.000148177494674	145.64069596540847	3	2.2964551722e-31	count ~ mut * base - mut : base
pos12	0.00215384125911	2116.9674967572278	3	0	count ~ mut * base - mut : base
pos6	0.000526061398287	517.0552271481836	3	9.60351122221e-112	count ~ mut * base - mut : base
pos1	5.02935062694e-05	49.43248144209781	3	1.05524336335e-10	count ~ mut * base - mut : base
pos18	0.000142635662756	140.1937402094204	3	3.43309499559e-30	count ~ mut * base - mut : base
pos10	0.00381503166967	3749.718327487166	3	0	count ~ mut * base - mut : base
pos15	0.000121806830588	119.72149764793653	3	8.85964626053e-26	count ~ mut * base - mut : base
pos11	0.00423574436656	4163.228422999742	3	0	count ~ mut * base - mut : base
pos0	8.3916676644e-05	82.48002313984728	3	9.01525185399e-18	count ~ mut * base - mut : base
pos4	2.60248487682e-05	25.579303357335334	3	1.16812217038e-05	count ~ mut * base - mut : base
pos9	0.00905280428647	8897.82027708495	3	0	count ~ mut * base - mut : base
pos3	3.95654300735e-05	38.88806991065654	3	1.83306124743e-08	count ~ mut * base - mut : base
