Position	RE	Deviance	df	prob	formula
pos14	0.00033765567950200687	257.79605943162824	3	1.3475662155619839e-55	count ~ mut * base - mut : base
pos15	0.0002381451206820529	181.8209418992992	3	3.5662789966624678e-39	count ~ mut * base - mut : base
pos16	0.00016819742274139465	128.41671389398192	3	1.1864761003834557e-27	count ~ mut * base - mut : base
pos17	0.00021726440701098793	165.87876758000516	3	9.8699196955643298e-36	count ~ mut * base - mut : base
pos10	0.001895423078597103	1447.132775431945	3	0	count ~ mut * base - mut : base
pos11	0.0011631641287183053	888.0618543068815	3	3.4392870561990076e-192	count ~ mut * base - mut : base
pos12	0.0003622647517780014	276.5847908054827	3	1.1608918759132071e-59	count ~ mut * base - mut : base
pos13	0.0006732033364494533	513.9826689391202	3	4.4497780481343891e-111	count ~ mut * base - mut : base
pos18	9.056689582471314e-05	69.14673815941859	3	6.5005838466709609e-15	count ~ mut * base - mut : base
pos19	0.00014812893477387802	113.09466415263859	3	2.3673215324185339e-24	count ~ mut * base - mut : base
pos8	0.0014075809129327319	1074.6711360531856	3	1.1379135932177818e-232	count ~ mut * base - mut : base
pos9	0.009483836769688078	7240.795567615611	3	0	count ~ mut * base - mut : base
pos6	0.0003024577119557097	230.9228335856409	3	8.7354632119137195e-50	count ~ mut * base - mut : base
pos7	0.0009710293293274353	741.3692405895449	3	2.2452093519855932e-160	count ~ mut * base - mut : base
pos4	0.00022465557097789873	171.52183257477395	3	5.9719654479355885e-37	count ~ mut * base - mut : base
pos5	0.0002889200611756694	220.58699966688948	3	1.4990884129274594e-47	count ~ mut * base - mut : base
pos2	0.00023925173968672613	182.66583222993916	3	2.3428557488768198e-39	count ~ mut * base - mut : base
pos3	0.00017171689975929228	131.10379236342254	3	3.1274934305018102e-28	count ~ mut * base - mut : base
pos0	0.00017895745623901354	136.63187034901196	3	2.0119944957328936e-29	count ~ mut * base - mut : base
pos1	9.439366050530051e-05	72.06842707187087	3	1.5390684503304628e-15	count ~ mut * base - mut : base
