Position	RE	Deviance	df	prob	formula
pos4	0.000120060065031	117.94124500313524	3	2.14187211474e-25	count ~ mut * base - mut : base
pos13	0.000559351122869	549.4796942523028	3	9.00958002834e-119	count ~ mut * base - mut : base
pos1	8.87667034926e-05	87.20014870936281	3	8.74630125226e-19	count ~ mut * base - mut : base
pos10	0.00932524855798	9160.676571426451	3	0	count ~ mut * base - mut : base
pos9	0.00400559762918	3934.906842215949	3	0	count ~ mut * base - mut : base
pos16	4.04261748195e-05	39.71273368632899	3	1.22586968825e-08	count ~ mut * base - mut : base
pos2	0.000206194404358	202.55548550974902	3	1.18297527694e-43	count ~ mut * base - mut : base
pos3	0.000127738903552	125.48456738225548	3	5.08192345471e-27	count ~ mut * base - mut : base
pos8	0.00417236845043	4098.734492020556	3	0	count ~ mut * base - mut : base
pos11	0.00187195122109	1838.915025942806	3	0	count ~ mut * base - mut : base
pos0	4.19284455627e-05	41.1884923554411	3	5.96410058357e-09	count ~ mut * base - mut : base
pos5	0.000511212541452	502.19066252065477	3	1.59926271321e-108	count ~ mut * base - mut : base
pos15	2.89975363506e-05	28.48578782905463	3	2.87182407378e-06	count ~ mut * base - mut : base
pos7	0.00205524396534	2018.9730198407342	3	0	count ~ mut * base - mut : base
pos6	0.00114262979089	1122.4646603380863	3	4.86753112686e-243	count ~ mut * base - mut : base
pos14	5.45428940003e-05	53.5803210070145	3	1.37883949023e-11	count ~ mut * base - mut : base
pos19	5.32468435215e-05	52.307143226988956	3	2.57599807604e-11	count ~ mut * base - mut : base
pos17	6.97318379783e-05	68.50121050164705	3	8.93607788113e-15	count ~ mut * base - mut : base
pos18	3.83842395536e-05	37.70683449394255	3	3.26066336468e-08	count ~ mut * base - mut : base
pos12	0.000834656009491	819.9260002352815	3	2.06389388668e-177	count ~ mut * base - mut : base
