Position	RE	Deviance	df	prob	formula
pos14	9.68992837223571e-05	73.70159519922481	3	6.8763435315195587e-16	count ~ mut * base - mut : base
pos15	6.57354540755589e-05	49.9983863698701	3	7.9955034904437825e-11	count ~ mut * base - mut : base
pos16	0.00012035249378356555	91.54010677177996	3	1.0226641995879403e-19	count ~ mut * base - mut : base
pos17	0.00011552643633274528	87.86940747468606	3	6.2823232659126344e-19	count ~ mut * base - mut : base
pos10	0.0005441300737973652	413.865334130276	3	2.1963408534585667e-89	count ~ mut * base - mut : base
pos11	0.0008646142032655151	657.6255630037508	3	3.2360238764930391e-142	count ~ mut * base - mut : base
pos12	0.0005916924238662717	450.04125759268624	3	3.1938214993824198e-97	count ~ mut * base - mut : base
pos13	0.00038239149137333746	290.8469683385605	3	9.5200931706917502e-63	count ~ mut * base - mut : base
pos18	7.192737228649414e-05	54.70795936110744	3	7.925273847836392e-12	count ~ mut * base - mut : base
pos19	7.238208367005585e-06	5.505381283944448	3	0.13831711106475889	count ~ mut * base - mut : base
pos8	0.00016948584260410165	128.9109318846797	3	9.2845817851245325e-28	count ~ mut * base - mut : base
pos9	0.004191266023971562	3187.8769378327697	3	0	count ~ mut * base - mut : base
pos6	0.0004506245564119413	342.74503760692255	3	5.5532597830948917e-74	count ~ mut * base - mut : base
pos7	0.0012414503924119426	944.2471684685236	3	2.2349854831733938e-204	count ~ mut * base - mut : base
pos4	5.7317512619601065e-05	43.59570009846857	3	1.8391435923547119e-09	count ~ mut * base - mut : base
pos5	2.2414477027998783e-05	17.048451227495875	3	0.00069071015079204495	count ~ mut * base - mut : base
pos2	0.00023417799519168974	178.11578314279922	3	2.2509116349054081e-38	count ~ mut * base - mut : base
pos3	0.00016497994644789252	125.48374726826705	3	5.0839914054566548e-27	count ~ mut * base - mut : base
pos0	6.746587386913593e-05	51.314543664864786	3	4.1925430234530108e-11	count ~ mut * base - mut : base
pos1	6.436079211688084e-05	48.952818484099566	3	1.3349776993422352e-10	count ~ mut * base - mut : base
