Position	RE	Deviance	df	prob	formula
pos2	7.7678250847e-05	59.11874172866243	3	9.06774333622e-13	count ~ mut * base - mut : base
pos18	6.10539361619e-05	46.46644130264414	3	4.51348574543e-10	count ~ mut * base - mut : base
pos15	7.82724869858e-05	59.5709982152633	3	7.25929891029e-13	count ~ mut * base - mut : base
pos12	0.00136232745987	1036.8292845381552	3	1.84328919471e-224	count ~ mut * base - mut : base
pos14	2.23929598797e-05	17.042654761583805	3	0.000692608972683	count ~ mut * base - mut : base
pos5	0.000152796940084	116.28947278398789	3	4.85802420312e-25	count ~ mut * base - mut : base
pos0	5.66429301865e-06	4.310934816291891	3	0.22978724258	count ~ mut * base - mut : base
pos8	0.000871602991196	663.352631715278	3	1.85469182182e-143	count ~ mut * base - mut : base
pos11	0.000236923537042	180.3158701837217	3	7.53793043576e-39	count ~ mut * base - mut : base
pos16	0.000147630013962	112.35706998603791	3	3.41214512585e-24	count ~ mut * base - mut : base
pos13	0.000385012333012	293.0221063104234	3	3.22049730264e-63	count ~ mut * base - mut : base
pos19	3.59044563456e-05	27.325876399848198	3	5.03024163511e-06	count ~ mut * base - mut : base
pos17	0.000236790451104	180.21458220224466	3	7.92731017352e-39	count ~ mut * base - mut : base
pos7	0.000536763260785	408.51548841252105	3	3.1665938067e-88	count ~ mut * base - mut : base
pos4	7.81268234289e-05	59.460137760659904	3	7.66613019636e-13	count ~ mut * base - mut : base
pos10	0.00391522111936	2979.7651677527133	3	0	count ~ mut * base - mut : base
pos6	0.000486364165554	370.15814820626724	3	6.43400907664e-80	count ~ mut * base - mut : base
pos1	9.72078725851e-05	73.9821900040638	3	5.98729745296e-16	count ~ mut * base - mut : base
pos3	6.2717506035e-05	47.73253775310536	3	2.42765444848e-10	count ~ mut * base - mut : base
pos9	0.000640846494068	487.73032293332193	3	2.17582370512e-105	count ~ mut * base - mut : base
