Position	RE	Deviance	df	prob	formula
pos14	0.00034898763797935845	287.3787563210344	3	5.3600243868528117e-62	count ~ mut * base - mut : base
pos15	4.2292524027810146e-05	34.82637100603665	3	1.3256124403911937e-07	count ~ mut * base - mut : base
pos16	8.748835082652931e-05	72.04350732501713	3	1.5581027511054216e-15	count ~ mut * base - mut : base
pos17	4.698759285595955e-06	3.8692591163539873	3	0.27593226242778368	count ~ mut * base - mut : base
pos10	0.005318280957194769	4379.412910135433	3	0	count ~ mut * base - mut : base
pos11	0.0013242046057240302	1090.4348214479328	3	4.3273769982139218e-236	count ~ mut * base - mut : base
pos12	0.0015051908489436066	1239.470477234498	3	2.0013071478395395e-268	count ~ mut * base - mut : base
pos13	0.00011208235907015584	92.29578772934681	3	7.0369848843497357e-20	count ~ mut * base - mut : base
pos18	3.312098702867546e-05	27.27394046258121	3	5.1579943483690758e-06	count ~ mut * base - mut : base
pos19	1.2949953507774762e-05	10.663820515326236	3	0.01368980916077635	count ~ mut * base - mut : base
pos8	0.005656519701127022	4657.940339168862	3	0	count ~ mut * base - mut : base
pos9	0.0022488625280085873	1851.8573327640634	3	0	count ~ mut * base - mut : base
pos6	0.0004755062452045732	391.5622747011387	3	1.4885992145167952e-84	count ~ mut * base - mut : base
pos7	0.0009522224977795625	784.1209469115497	3	1.2022206989961973e-169	count ~ mut * base - mut : base
pos4	8.494290793376398e-05	69.94742673876902	3	4.3804234763534325e-15	count ~ mut * base - mut : base
pos5	0.0001708614617781024	140.69826276164332	3	2.672386805788029e-30	count ~ mut * base - mut : base
pos2	2.3402016729110083e-06	1.9270718303819905	3	0.58768031485949934	count ~ mut * base - mut : base
pos3	1.3833900850282816e-05	11.391719329777288	3	0.0097857573017358611	count ~ mut * base - mut : base
pos0	2.027387376460167e-05	16.69480518569395	3	0.00081658137518508236	count ~ mut * base - mut : base
pos1	5.1883853133510496e-05	42.72448523673309	3	2.8158168134561107e-09	count ~ mut * base - mut : base
